params,final_capital,total_return,total_return_pct,num_trades,win_rate,max_drawdown,improvement_vs_baseline,status
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",28655.305800000016,-21344.694199999984,-42.68938839999997,254,11.41732283464567,67.79709040000004,-81368.97419999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",30084.54530000002,-19915.45469999998,-39.83090939999996,253,11.462450592885375,67.33449080000005,-79939.73469999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",19029.081699999962,-30970.918300000038,-61.94183660000008,290,10.0,76.40988200000007,-90995.19830000003,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",21268.63379999999,-28731.36620000001,-57.46273240000003,284,10.211267605633804,76.52199700000003,-88755.64620000002,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",25347.9057,-24652.0943,-49.3041886,258,11.24031007751938,67.3125980000001,-84676.3743,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",18346.194900000013,-31653.805099999987,-63.30761019999998,290,10.0,76.83216900000008,-91678.08509999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",28274.322399999965,-21725.677600000035,-43.451355200000066,250,11.600000000000001,62.55611160000001,-81749.95760000004,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",30987.385200000033,-19012.614799999967,-38.02522959999993,247,11.740890688259109,62.620953000000014,-79036.89479999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",31748.692100000048,-18251.307899999952,-36.5026157999999,246,11.788617886178862,62.44788119999999,-78275.58789999995,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",15611.586,-34388.414000000004,-68.77682800000001,294,9.523809523809524,82.38396000000002,-94412.694,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",32534.167900000026,-17465.832099999974,-34.93166419999995,248,11.29032258064516,60.712538800000004,-77490.11209999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",16131.887999999999,-33868.112,-67.736224,293,9.556313993174061,81.77605660000002,-93892.39199999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",27617.571600000094,-22382.428399999906,-44.76485679999981,263,10.646387832699618,69.93115639999996,-82406.7083999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",25732.77220000002,-24267.22779999998,-48.53445559999996,264,10.606060606060606,69.2458406,-84291.50779999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",31726.27060000004,-18273.72939999996,-36.54745879999992,246,11.38211382113821,60.766159200000004,-78298.00939999995,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",17066.565500000048,-32933.43449999995,-65.86686899999991,291,9.621993127147768,81.88730459999998,-92957.71449999994,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",27908.07490000003,-22091.92509999997,-44.18385019999994,265,10.566037735849058,69.32816480000002,-82116.20509999996,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",34424.75030000003,-15575.249699999971,-31.150499399999944,244,11.475409836065573,62.01575239999995,-75599.52969999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",15807.427900000028,-34192.572099999976,-68.38514419999994,286,9.44055944055944,82.98602779999996,-94216.85209999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",30468.59910000007,-19531.40089999993,-39.06280179999986,234,11.538461538461538,65.5831104,-79555.68089999993,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",18975.660999999993,-31024.339000000007,-62.04867800000001,264,10.227272727272728,78.89754400000002,-91048.619,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",16287.801200000007,-33712.19879999999,-67.42439759999999,288,9.375,82.4804808,-93736.47879999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",17189.62580000001,-32810.37419999999,-65.62074839999998,265,10.18867924528302,78.81176800000003,-92834.65419999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",28694.361200000058,-21305.638799999942,-42.61127759999989,234,11.538461538461538,65.63836380000002,-81329.91879999994,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",20338.364700000035,-29661.635299999965,-59.32327059999993,262,10.305343511450381,77.93646780000003,-89685.91529999996,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",17137.560500000014,-32862.439499999986,-65.72487899999997,285,9.473684210526317,82.501838,-92886.71949999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",30931.348100000032,-19068.651899999968,-38.13730379999994,233,11.587982832618025,66.54593800000002,-79092.93189999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",6616.570799999989,-43383.42920000001,-86.76685840000002,290,10.0,91.84141840000002,-103407.70920000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",15243.908700000018,-34756.091299999985,-69.51218259999997,254,11.41732283464567,84.15666860000002,-94780.37129999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",18332.97779999998,-31667.02220000002,-63.334044400000046,247,11.740890688259109,79.50902840000008,-91691.30220000002,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",6975.916600000004,-43024.083399999996,-86.04816679999999,290,10.0,91.4046468,-103048.3634,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",12720.762200000012,-37279.23779999999,-74.55847559999998,258,11.24031007751938,83.73803080000005,-97303.51779999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",8241.256800000001,-41758.7432,-83.5174864,284,10.211267605633804,91.16959480000003,-101783.0232,success
